time,o,h,l,c,volume,complete
2020-11-19 10:54:30,1.18295,1.18308,1.18295,1.18306,48,True
2020-11-19 10:55:00,1.18306,1.18308,1.18294,1.18294,80,True
2020-11-19 10:55:30,1.18292,1.18294,1.18267,1.18267,81,True
2020-11-19 10:56:00,1.18268,1.18277,1.18268,1.18272,49,True
2020-11-19 10:56:30,1.18274,1.18274,1.18269,1.1827,15,True
2020-11-19 10:57:00,1.18269,1.18272,1.18266,1.18266,41,True
2020-11-19 10:57:30,1.18264,1.18264,1.18256,1.18256,30,True
2020-11-19 10:58:00,1.18257,1.18264,1.18253,1.18256,29,True
2020-11-19 10:58:30,1.18256,1.18258,1.18253,1.18258,17,True
2020-11-19 10:59:00,1.18258,1.18266,1.18258,1.18266,9,True
2020-11-19 10:59:30,1.18268,1.18276,1.18264,1.18274,17,True
2020-11-19 11:00:00,1.18272,1.18274,1.18256,1.18258,62,True
2020-11-19 11:00:30,1.18258,1.18262,1.18258,1.18261,23,True
2020-11-19 11:01:00,1.18262,1.18266,1.1826,1.18262,41,True
2020-11-19 11:01:30,1.18263,1.18271,1.18258,1.1827,56,True
2020-11-19 11:02:00,1.18272,1.18286,1.18269,1.18276,62,True
2020-11-19 11:02:30,1.18275,1.18276,1.18261,1.18261,41,True
2020-11-19 11:03:00,1.18262,1.18276,1.1826,1.18267,32,True
2020-11-19 11:03:30,1.18268,1.18272,1.1826,1.18262,29,True
2020-11-19 11:04:00,1.1826,1.18265,1.18258,1.18265,38,True
2020-11-19 11:04:30,1.18264,1.18264,1.1825,1.18252,45,True
2020-11-19 11:05:00,1.18251,1.18256,1.18248,1.18249,38,True
2020-11-19 11:05:30,1.1825,1.1825,1.18238,1.18248,33,True
2020-11-19 11:06:00,1.18246,1.18263,1.18242,1.18263,34,True
2020-11-19 11:06:30,1.18262,1.18278,1.18262,1.18273,43,True
2020-11-19 11:07:00,1.18272,1.18274,1.18264,1.18269,38,True
2020-11-19 11:07:30,1.1827,1.18278,1.18268,1.18278,44,True
